CTDC_hydrophobicity.Group1,CTDC_hydrophobicity.Group2,CTDC_hydrophobicity.Group3,CTDC_normwaalsvolume.Group1,CTDC_normwaalsvolume.Group2,CTDC_normwaalsvolume.Group3,CTDC_polarity.Group1,CTDC_polarity.Group2,CTDC_polarity.Group3,CTDC_polarizability.Group1,CTDC_polarizability.Group2,CTDC_polarizability.Group3,CTDC_charge.Group1,CTDC_charge.Group2,CTDC_charge.Group3,CTDC_secondarystruct.Group1,CTDC_secondarystruct.Group2,CTDC_secondarystruct.Group3,CTDC_solventaccess.Group1,CTDC_solventaccess.Group2,CTDC_solventaccess.Group3
DDE_0001,0.33256880733945,0.346330275229358,0.321100917431193,0.369266055045872,0.350917431192661,0.279816513761468,0.344036697247706,0.293577981651376,0.362385321100917,0.302752293577982,0.41743119266055,0.279816513761468,0.139908256880734,0.745412844036697,0.114678899082569,0.493119266055046,0.272935779816514,0.23394495412844,0.422018348623853,0.33256880733945,0.245412844036697
DDE_0002,0.328125,0.361979166666667,0.309895833333333,0.390625,0.364583333333333,0.244791666666667,0.3515625,0.307291666666667,0.341145833333333,0.341145833333333,0.4140625,0.244791666666667,0.0989583333333333,0.747395833333333,0.153645833333333,0.434895833333333,0.276041666666667,0.2890625,0.419270833333333,0.328125,0.252604166666667
DDE_0003,0.366373902132999,0.332496863237139,0.301129234629862,0.343789209535759,0.400250941028858,0.255959849435383,0.337515683814304,0.274780426599749,0.387703889585947,0.3099121706399,0.434127979924718,0.255959849435383,0.1267252195734,0.718946047678795,0.154328732747804,0.444165621079046,0.27603513174404,0.279799247176913,0.430363864491844,0.366373902132999,0.203262233375157
DDE_0004,0.357583230579531,0.325524044389642,0.316892725030826,0.346485819975339,0.408138101109741,0.24537607891492,0.346485819975339,0.278668310727497,0.374845869297164,0.305795314426634,0.448828606658446,0.24537607891492,0.141800246609125,0.711467324290999,0.146732429099877,0.461159062885327,0.278668310727497,0.260172626387176,0.432799013563502,0.357583230579531,0.209617755856967
DDE_0005,0.377777777777778,0.325925925925926,0.296296296296296,0.322222222222222,0.392592592592593,0.285185185185185,0.348148148148148,0.248148148148148,0.403703703703704,0.277777777777778,0.437037037037037,0.285185185185185,0.140740740740741,0.711111111111111,0.148148148148148,0.614814814814815,0.203703703703704,0.181481481481481,0.418518518518519,0.377777777777778,0.203703703703704
DDE_0009,0.276422764227642,0.390243902439024,0.333333333333333,0.394308943089431,0.333333333333333,0.272357723577236,0.369918699186992,0.345528455284553,0.284552845528455,0.321138211382114,0.40650406504065,0.272357723577236,0.126016260162602,0.780487804878049,0.0934959349593496,0.479674796747967,0.239837398373984,0.280487804878049,0.508130081300813,0.276422764227642,0.215447154471545
DDE_0011,0.316546762589928,0.364508393285372,0.3189448441247,0.407673860911271,0.347721822541966,0.244604316546763,0.345323741007194,0.323741007194245,0.330935251798561,0.333333333333333,0.422062350119904,0.244604316546763,0.122302158273381,0.745803357314149,0.13189448441247,0.482014388489209,0.254196642685851,0.26378896882494,0.448441247002398,0.316546762589928,0.235011990407674
DDE_0012,0.34983498349835,0.334983498349835,0.315181518151815,0.363036303630363,0.372937293729373,0.264026402640264,0.344884488448845,0.285478547854785,0.36963696369637,0.303630363036304,0.432343234323432,0.264026402640264,0.12046204620462,0.731023102310231,0.148514851485149,0.485148514851485,0.254125412541254,0.260726072607261,0.433993399339934,0.34983498349835,0.216171617161716
DDE_0013,0.378698224852071,0.301775147928994,0.319526627218935,0.384615384615385,0.402366863905325,0.21301775147929,0.343195266272189,0.260355029585799,0.396449704142012,0.325443786982249,0.461538461538462,0.21301775147929,0.142011834319527,0.668639053254438,0.189349112426035,0.497041420118343,0.266272189349112,0.236686390532544,0.437869822485207,0.378698224852071,0.183431952662722
DDE_0014,0.258358662613982,0.422492401215805,0.319148936170213,0.452887537993921,0.337386018237082,0.209726443768997,0.340425531914894,0.373860182370821,0.285714285714286,0.358662613981763,0.43161094224924,0.209726443768997,0.0972644376899696,0.78419452887538,0.11854103343465,0.504559270516717,0.243161094224924,0.252279635258359,0.51063829787234,0.258358662613982,0.231003039513678
