AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_E,AAC_Q,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V
DDE_0015,0.0621761658031088,0.0829015544041451,0.0466321243523316,0.0310880829015544,0.0310880829015544,0.0310880829015544,0.00518134715025907,0.0829015544041451,0.0207253886010363,0.0984455958549223,0.145077720207254,0.0310880829015544,0.0207253886010363,0.0414507772020725,0.0673575129533679,0.0518134715025907,0.0518134715025907,0.0103626943005181,0.0259067357512953,0.0621761658031088
DDE_0016,0.0947368421052632,0.0947368421052632,0.0315789473684211,0.0421052631578947,0.0210526315789474,0.0631578947368421,0.0421052631578947,0.0631578947368421,0.0105263157894737,0.0631578947368421,0.105263157894737,0.0210526315789474,0.0421052631578947,0.0210526315789474,0.105263157894737,0.0210526315789474,0.0526315789473684,0,0.0210526315789474,0.0842105263157895
DDE_0017,0.108108108108108,0.0900900900900901,0.0135135135135135,0.0472972972972973,0.0225225225225225,0.0698198198198198,0.0405405405405405,0.0675675675675676,0.0135135135135135,0.036036036036036,0.126126126126126,0.0225225225225225,0.0157657657657658,0.0157657657657658,0.0675675675675676,0.0765765765765766,0.0405405405405405,0.0225225225225225,0.0382882882882883,0.0653153153153153
DDE_0019,0.0487804878048781,0.0894308943089431,0.0487804878048781,0.0569105691056911,0.00813008130081301,0.113821138211382,0.0569105691056911,0.0569105691056911,0.016260162601626,0.040650406504065,0.0975609756097561,0.0650406504065041,0.0487804878048781,0.00813008130081301,0.0569105691056911,0.032520325203252,0.024390243902439,0,0.0569105691056911,0.0731707317073171
DDE_0020,0.12962962962963,0.0972222222222222,0.0324074074074074,0.0277777777777778,0.00925925925925926,0.0740740740740741,0.037037037037037,0.0601851851851852,0.0324074074074074,0.037037037037037,0.111111111111111,0.0138888888888889,0.0185185185185185,0.00925925925925926,0.0555555555555556,0.0185185185185185,0.134259259259259,0.0185185185185185,0.0185185185185185,0.0648148148148148
DDE_0021,0.0862619808306709,0.0702875399361022,0.0351437699680511,0.0543130990415335,0,0.0638977635782748,0.0543130990415335,0.073482428115016,0.0319488817891374,0.0638977635782748,0.105431309904153,0.0383386581469649,0.0351437699680511,0.0255591054313099,0.0255591054313099,0.0543130990415335,0.0766773162939297,0.00638977635782748,0.0159744408945687,0.0830670926517572
DDE_0022,0.05859375,0.078125,0.0234375,0.08203125,0.01171875,0.02734375,0.04296875,0.0859375,0.0390625,0.05859375,0.1640625,0.02734375,0.03515625,0.01171875,0.04296875,0.0546875,0.05859375,0.00390625,0.0234375,0.0703125
DDE_0023,0.12,0.048,0.016,0.02,0.02,0.032,0.048,0.092,0.004,0.08,0.132,0.02,0.036,0.044,0.024,0.06,0.056,0.02,0.028,0.1
DDE_0024,0.0952380952380952,0.0952380952380952,0.00952380952380952,0.0571428571428571,0,0.0761904761904762,0.0571428571428571,0.0571428571428571,0.019047619047619,0.0952380952380952,0.114285714285714,0.0285714285714286,0.019047619047619,0.019047619047619,0.00952380952380952,0.104761904761905,0.0380952380952381,0.00952380952380952,0.019047619047619,0.0761904761904762
DDE_0028,0.104651162790698,0.0668604651162791,0.0377906976744186,0.0552325581395349,0.0116279069767442,0.0581395348837209,0.0348837209302326,0.0901162790697674,0.0203488372093023,0.061046511627907,0.113372093023256,0.0319767441860465,0.0203488372093023,0.0261627906976744,0.0406976744186047,0.0494186046511628,0.0697674418604651,0.00581395348837209,0.0145348837209302,0.0872093023255814
