code;Feature;featureGroup;filename;execute
89Deeply;Protein Sequence (PSF);89Deeply;89FeatureDeeply.csv;1
DC;Protein Sequence (PSF) ;Dipetide;EssentialFeature_collection_Dipetite.csv;
